pmid,title,abstract,journal,pub_date
42430379,"Can dietary supplementation with highly purified fucoidan alter growth, digestive enzyme activity, serum biochemicals, immune-antioxidant responses, and related gene expressions in Nile tilapia (Oreochromis niloticus)?","The present study investigates the impact of dietary fucoidan supplementation on growth performance, intestinal tract morphology, endogenous digestive enzymes, hematological parameters, serum biochemical indices of Nile tilapia (Oreochromis niloticus), oxidative biomarkers, and related gene expressions. Fish weighing 2.54 ± 0.12 g had randomly assigned them into five groups of equal size (20 fish each aquarium), with three replicates per group. The fish were fed for 70 days with five experimenta...",PloS one,2026
42429977,Experiences and needs regarding information on nutrition and nutritional supplements among oncology healthcare professionals: an explanatory sequential mixed-methods study.,This study aimed to acquire a comprehensive understanding of the experiences and needs of healthcare professionals (HCPs) in a university medical center at the medical oncology department regarding the provision of uniform information on nutrition and nutritional supplements to adult patients with cancer.,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,2026-Jul
42426607,Lactiplantibacillus plantarum and Pediococcus acidilactici strains isolated from cattle gut show probiotic potential.,"Lactic acid bacteria (LAB), particularly Lactiplantibacillus plantarum and Pediococcus acidilactici, are well-characterized probiotics, known for their beneficial role in promoting gut health in animals.",BMC microbiology,2026-Jul
42426489,Effect of Probiotics on the Gut-Mammary Pathway: Implications on Infant Microbiota Transfer and Development.,"Transfer of microbiota from the maternal gut, during lactation, takes place via breastmilk, which establishes an intricate beneficial microbial ecosystem in the gut of the newborn. A healthy gut microbiota influences and enhances the neonatal health, and aids in multidimensional development-metabolically, immunologically, neurologically, and hormonally. Several microorganisms like Lactobacillus and Bifidobacterium get transferred to the infant gut and play a key role in its colonization and prog...",Current nutrition reports,2026-Jul
42425686,Microbiota-liver axis and host transcriptomic mechanisms underlying the anti-obesity effects of Bifidobacterium animalis DPU-MWFBA in early-life overfeeding.,"Early-life nutritional overfeeding is increasingly recognized as a critical driver of metabolic programming and long-term obesity risk. This study investigated the protective effects and underlying mechanisms of Bifidobacterium animalis DPU-MWFBA, designated as FBA-40, against early-life overfeeding-induced obesity and metabolic dysfunction. An early overfeeding mouse model was established by small-litter rearing, followed by a two-week oral intervention with FBA-40. FBA-40 significantly attenua...",Food microbiology,2026-Dec
42425663,Impact of probiotic culture combinations on the survival and population dynamics of Clostridioides difficile in white cheese during manufacture and ripening.,"White brined cheeses can provide a suitable environment for the persistence of spore-forming bacteria such as Clostridioides difficile. This study examined the behaviour of C. difficile during the controlled manufacture and 90-day ripening of laboratory-scale white brined cheeses and assessed the inhibitory effects of two probiotic combinations. After pasteurization, C. difficile spores were inoculated into designated batches, while two formulations previously shown to suppress the pathogen in v...",Food microbiology,2026-Dec
42425648,Identification and evaluation of potential probiotics with favorable fermentation and storage characteristics for fermented brown milk beverages.,"Brown milk beverages have garnered widespread attention due to their unique flavor and potential as a functional matrix for probiotic delivery. This study aimed to identify Lacticaseibacillus paracasei strains suitable for fermenting brown milk beverages by combining artificial intelligence-driven predictive screening with experimental validation and metabolomic analysis. Using the iProbiotics platform, 27 L. paracasei strains underwent initial screening, yielding seven candidates for further ev...",Food microbiology,2026-Dec
42425448,Evaluation of a Retrieval-Augmented Generation-Based Large Language Model for Evidence-Based Herb and Supplement Information in Cancer Care.,Our study describes the development and evaluation of a retrieval-augmented generation-based large language model to improve the quality of responses to provider questions about herbs and dietary supplements.,JMIR cancer,2026-Jul
42423731,Genomic and phenotypic insights into the probiotic and antimicrobial potential of Bacillus amyloliquefaciens BCSIR-AJ strain from garlic chutney.,"Bacillus amyloliquefaciens is a versatile, spore-forming probiotic bacterium with substantial applications in agriculture, industry, and medicine. This research was designed to characterize the probiotic potential of Bacillus amyloliquefaciens BCSIR-AJ isolated from garlic chutney and to evaluate its probiotic and antimicrobial properties. The isolate was acidophilic (optimum pH of 5.0), thermotolerant (55 °C), and halotolerant (10%), and can degrade protein, carbohydrate, and gelatin. The crude...",Archives of microbiology,2026-Jul
42423123,Effects of Nonesterified Fatty Acids From Different Plant-Derived Oils With Silica Gel Powder on In Vitro Gas Production and Ruminal Fermentation Characteristics.,"Previous studies reported that nonesterified fatty acid in calcium salts has the possibility to mitigate methane emission when combined with silica powder. We investigated the effects of different lipase-treated oils, combined with silica powder as an oil adsorbent, on in vitro gas production and ruminal fermentation characteristics employing sheep ruminal fluid. In Experiment 1, treatments included five supplemental oils: palm kernel oil (PKO), palm oil (PO), sunflower oil (SFO), soybean oil (S...",Animal science journal = Nihon chikusan Gakkaiho,2026
